"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"23855","MIDSMALL","MIRAEAMC - MIDSMALL","EQ","1.0000","1","ETF","E","NSE","65.5200","43.6800","","","1594667"
"23915","LIQUIDBETF","BFAM - LIQUIDBETF","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","3644"
"24081","TOP100CASE","ZERODHAAMC - TOP100CASE","EQ","1.0000","1","ETF","E","NSE","13.2800","8.8500","","","624176"
"24077","MID150CASE","ZERODHAAMC - MID150CASE","EQ","1.0000","1","ETF","E","NSE","13.2100","8.8000","","","679115"
"24117","BBNPNBETF","BARODABNP - BBNPNBETF","EQ","1.0000","1","ETF","E","NSE","63.5100","42.3400","","","64979"
"544206","SBISILVER","SBI Mutual Fund","E","1.0000","1","ETF","E","BSE","107.3000","71.5300","","","-1"
"24366","SBISILVER","SBIAMC - SBISILVER","EQ","1.0000","1","ETF","E","NSE","107.3000","71.5300","","","80477"
"24374","LIQUIDSHRI","SHRIRAM - LIQUIDSHRI","EQ","1.0000","1","ETF","E","NSE","1218.1400","812.0900","","","5855"
"24404","ABGSEC","BIRLASLAMC - ABGSEC","EQ","1.0000","1","ETF","E","NSE","123.9900","82.6600","","","136655"
"24461","EVINDIA","MIRAEAMC - EVINDIA","EQ","1.0000","1","ETF","E","NSE","41.9200","27.9500","","","1294422"
"24524","SBINEQWETF","SBIAMC - SBINEQWETF","EQ","1.0000","1","ETF","E","NSE","40.0600","26.7100","","","200843"
"24533","OILIETF","ICICIPRAMC - OILIETF","EQ","1.0000","1","ETF","E","NSE","15.7200","10.4800","","","1525068"
"24798","GROWWEV","GROWWAMC - GROWWEV","EQ","1.0000","1","ETF","E","NSE","41.8600","27.9100","","","1807869"
"24847","GSEC10ABSL","BIRLASLAMC - GSEC10ABSL","EQ","1.0000","1","ETF","E","NSE","122.1600","81.4400","","","55657"
"24861","METALIETF","ICICIPRAMC - METALIETF","EQ","1.0000","1","ETF","E","NSE","12.2200","8.1500","","","1132119"
"24944","MODEFENCE","MOTILALAMC - MODEFENCE","EQ","1.0000","1","ETF","E","NSE","87.4900","58.3200","","","124258"
"25080","MULTICAP","MIRAEAMC - MULTICAP","EQ","1.0000","1","ETF","E","NSE","20.2800","13.5200","","","610805"
"25171","TOP10ADD","DSPAMC - TOP10ADD","EQ","1.0000","1","ETF","E","NSE","117.5800","78.3900","","","115512"
"25258","EBANKNIFTY","EDELAMC - EBANKNIFTY","EQ","1.0000","1","ETF","E","NSE","63.5200","42.3500","","","163219"
"25447","GROWWLIQID","GROWWAMC - GROWWLIQID","EQ","1.0000","1","ETF","E","NSE","120.2100","80.1400","","","105387"
"25606","MOMENTUM50","MOTILALAMC - MOMENTUM50","EQ","1.0000","1","ETF","E","NSE","76.6500","51.1000","","","-1"
